Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,2210,1,10,9990,0,-1,,,-2,4;15;21;22,,,,
447d9d6559a5163e5297,2211,1,10,9990,0,-1,,,-3,4;20;21;22,,,,
447d9d6559a5163e5297,2212,1,10,9990,0,-1,,,-1,9;10;11;20,,,,
447d9d6559a5163e5297,2213,1,10,9990,0,-1,,,-2,4;6;12;13,,,,
447d9d6559a5163e5297,2214,1,10,9990,0,-1,,,-2,5;7;10;20,,,,
447d9d6559a5163e5297,2215,1,10,9990,0,-1,,,-2,0;1;8;22,,,,
447d9d6559a5163e5297,2216,1,10,9990,0,-1,1;2;5;6,0;3;4,-2,1;6;19;20,,,,
447d9d6559a5163e5297,2217,1,10,9990,0,-1,,,-2,7;13;18;20,,,,
447d9d6559a5163e5297,2218,1,10,9990,0,-1,,,-2,4;9;19;22,,,,
447d9d6559a5163e5297,2219,1,10,9990,0,-1,,,-2,6;9;14;24,,,,
447d9d6559a5163e5297,2220,1,10,9990,0,-1,,,-3,6;9;20;22,,,,
447d9d6559a5163e5297,2221,1,10,9990,0,-1,1;2;5;6,0;3;4,-3,1;4;15;19,,,,
447d9d6559a5163e5297,2222,1,10,9990,0,-1,0;3;4,1;2;5;6,-2,11;13;14;20,,,,
447d9d6559a5163e5297,2223,1,10,9990,0,-1,,,-2,0;6;21;24,,,,
447d9d6559a5163e5297,2224,1,10,9990,0,-1,0;3;4,1;2;5;6,-2,1;3;4;18,,,,
447d9d6559a5163e5297,2225,1,10,9990,0,-1,0;3;4,1;2;5;6,-76,0;12;15;19,,,,
447d9d6559a5163e5297,2226,1,10,9990,0,-1,1;2;5;6,0;3;4,-2,4;6;7;11,,,,
447d9d6559a5163e5297,2227,1,10,9990,0,-1,1;2;5;6,0;3;4,-147,6;11;14;23,,,,
447d9d6559a5163e5297,2228,1,10,9990,0,-1,1;2;5;6,0;3;4,-2,6;16;21;23,,15,,
447d9d6559a5163e5297,2229,1,10,9990,0,-1,0;3;4,1;2;5;6,-94,17;18;19;20,,,,
447d9d6559a5163e5297,2230,1,10,9990,0,-1,0;3;4,1;2;5;6,-2,0;11;16;24,,,17,7
447d9d6559a5163e5297,2231,1,10,9990,0,-1,1;2;5;6,0;3;4,-3,12;13;19;20,,,,
447d9d6559a5163e5297,2232,1,10,9990,0,-1,,,-22,2;3;8;18,,,,
447d9d6559a5163e5297,2233,1,10,9990,0,-1,,,0,10;11;15;17,,,,
447d9d6559a5163e5297,2234,1,10,9990,0,-1,,,-116,1;5;8;22,,,,
447d9d6559a5163e5297,2235,1,10,9990,0,-1,,,-61,2;3;4;18,,,,
447d9d6559a5163e5297,2236,1,10,9990,0,-1,0;3;4,1;2;5;6,-5,0;2;4;18,,,20,
447d9d6559a5163e5297,2237,1,10,9990,0,-1,1;2;5;6,0;3;4,-10,5;6;19;21,,,,
447d9d6559a5163e5297,2238,1,10,9990,0,-1,0;3;4,1;2;5;6,-7,3;5;12;21,,,,
447d9d6559a5163e5297,2239,1,10,9990,0,-1,,,-3,9;10;13;24,,,,
447d9d6559a5163e5297,2240,1,10,9990,3,2,1;2;5;6,0;3;4,1164,3;4;11;21,3;11;19;21,5;18;1;6;16;19;22;17;12;7;0,11;10,11;21;2;21
447d9d6559a5163e5297,2241,1,10,9990,3,3,1;2;5;6,0;3;4,442,6;8;9;11,6;8;9;24,7;20;15;10;5;0;3;13;18;23;15;10;5;12,8;20;0,9;8;9;17;6;15
447d9d6559a5163e5297,2242,1,10,9990,1,5,0;3;4,1;2;5;6,39,0;6;13;20,0;1;2;3,,,
447d9d6559a5163e5297,2243,1,10,9990,0,5,0;3;4,1;2;5;6,16,4;13;22;24,0;1;2;3,,,


Single-player Round Table
Participant,GameNum,PlayerNum,Round,AssetType,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,1955,1,1,4;9;24;20;21;22;23;24;0;2;3;4;12,19;1,14
447d9d6559a5163e5297,1955,1,2,,,
447d9d6559a5163e5297,1956,1,1,19;20;21;22;23;24;0;2;3,4;14;24;1;12,9;4
447d9d6559a5163e5297,1959,1,1,4;14;24,9;19,
447d9d6559a5163e5297,1959,1,2,3;18;23;20;21;22;24;2;3,8;23;4;12,13;0;1
447d9d6559a5163e5297,1959,1,3,,11,
447d9d6559a5163e5297,1959,1,4,0;5;10;15;20;15;17;18;5;6;7;16,16;19;9,8;10;17
447d9d6559a5163e5297,1959,1,5,16;17,,
447d9d6559a5163e5297,1960,1,1,4;9;19;24,,14
447d9d6559a5163e5297,1960,1,2,8;13,3;18;23,
447d9d6559a5163e5297,1961,1,1,4;9;24,14;19,
447d9d6559a5163e5297,1961,1,2,3;8;18;23,,13
447d9d6559a5163e5297,1961,1,3,2;17;22,12,7
447d9d6559a5163e5297,1961,1,4,4,,
447d9d6559a5163e5297,1964,1,1,4;9,19;24,14
447d9d6559a5163e5297,1965,1,1,9;14;24,4,19
447d9d6559a5163e5297,1967,1,1,9;14;24,4,19
447d9d6559a5163e5297,1968,1,1,4;9;14,19;24,
447d9d6559a5163e5297,1968,1,2,8;13;18;23,3,
447d9d6559a5163e5297,1969,1,1,9;14;19,24,4
447d9d6559a5163e5297,1969,1,2,3,8;13;18;23,
447d9d6559a5163e5297,1969,1,3,2;7;22,12;17,
447d9d6559a5163e5297,1969,1,4,6;16,21,1;11
447d9d6559a5163e5297,1969,1,5,0;5;10;20,15,
447d9d6559a5163e5297,1970,1,1,4;14;19;24,,9
447d9d6559a5163e5297,1971,1,1,9;14;19,4;24,
447d9d6559a5163e5297,1972,1,1,4;14;19,24,9
447d9d6559a5163e5297,1973,1,1,9;14,4;19,24
447d9d6559a5163e5297,1974,1,1,4;9;14;24,19,
447d9d6559a5163e5297,1975,1,1,,,
447d9d6559a5163e5297,1975,1,2,,,
447d9d6559a5163e5297,1975,1,3,12;17;22,2,7
447d9d6559a5163e5297,1975,1,4,1;11;16;21,,6
447d9d6559a5163e5297,1976,1,1,4;9,14;24,19
447d9d6559a5163e5297,1976,1,2,13;18;23,3;8,
447d9d6559a5163e5297,1976,1,3,,,
447d9d6559a5163e5297,1977,1,1,3;8;18;23,13,
447d9d6559a5163e5297,1978,1,1,4;9;24,14,19
447d9d6559a5163e5297,1978,1,2,,,
447d9d6559a5163e5297,1979,1,1,4;9;19;24,,14
447d9d6559a5163e5297,1980,1,1,14,4;19;24,9
447d9d6559a5163e5297,1981,1,1,4;9;14;19;24,,
447d9d6559a5163e5297,1981,1,2,1;6;16;21,,11
447d9d6559a5163e5297,1982,1,1,14;19;24,4,9
447d9d6559a5163e5297,1982,1,2,8;13,3,18;23
447d9d6559a5163e5297,1984,1,1,14;19;24,,4;9
447d9d6559a5163e5297,1985,1,1,4;14;19,9;24,
