pydev debugger: starting (pid: 6680)
Participant Table
Participant,Age,Sex,FBInfo
bot,12152,2,3,0,7,12;17;22,2
bot,12152,2,3,3,16,,
bot,12152,2,3,4,,,
f993485cdcad266475f7,12152,1,4,1,,,
f993485cdcad266475f7,12152,1,4,2,10;11;14,12;13,
f993485cdcad266475f7,12152,1,4,5,,3,
f993485cdcad266475f7,12152,1,4,6,17,,
bot,12152,2,4,0,7;12;17;22,2,
bot,12152,2,4,3,23,,
bot,12152,2,4,4,,,
f993485cdcad266475f7,12152,1,5,1,15;16;17;18;19,,
f993485cdcad266475f7,12152,1,5,2,3;4,0,1;2
f993485cdcad266475f7,12152,1,5,5,,,9
f993485cdcad266475f7,12152,1,5,6,,12,
bot,12152,2,5,0,3;8;18;23,13,
bot,12152,2,5,3,,,1
bot,12152,2,5,4,,,
bot,12153,2,1,1,20;21;22;23;24,,
bot,12153,2,1,2,20;22;23,21,24
bot,12153,2,1,5,,21,
bot,12153,2,1,6,,,
bot,12153,2,2,1,,,
bot,12153,2,2,2,5;6,7;8;9,
bot,12153,2,2,5,,,
bot,12153,2,2,6,,24,
bot,12153,2,3,1,10;11;12;13;14,,
bot,12153,2,3,2,11;12,13,10;14
bot,12153,2,3,5,,,
bot,12153,2,3,6,24,,
bot,12153,2,4,1,,,
bot,12153,2,4,2,15;19,18,16;17
bot,12153,2,4,5,,,
bot,12153,2,4,6,24,,
bot,12153,2,5,1,15;16;18,,17;19
bot,12153,2,5,2,1;2;3;4,0,
bot,12153,2,5,5,,21,
bot,12153,2,5,6,,18,
f993485cdcad266475f7,12259,1,1,0,9;14;19,24,4
f993485cdcad266475f7,12259,1,1,3,,,8
f993485cdcad266475f7,12259,1,1,4,17,,
bot,12259,2,1,1,12;13,,10;11;14
bot,12259,2,1,2,20;21;22;23,24,
bot,12259,2,1,5,,,13
bot,12259,2,1,6,,,
f993485cdcad266475f7,12260,1,1,0,4;9;19,24,14
f993485cdcad266475f7,12260,1,1,3,12,,
f993485cdcad266475f7,12260,1,1,4,,,
bot,12260,2,1,1,15;16;17;19,18,
bot,12260,2,1,2,21;24,20;22,23
bot,12260,2,1,5,,10,
bot,12260,2,1,6,,,
f993485cdcad266475f7,12260,1,2,0,1;6;11;16,21,
f993485cdcad266475f7,12260,1,2,3,,14,
f993485cdcad266475f7,12260,1,2,4,,,23
bot,12260,2,2,1,,,
bot,12260,2,2,2,,,
bot,12260,2,2,5,15,,
bot,12260,2,2,6,,,23
f993485cdcad266475f7,12260,1,3,0,17;22,7;12,2
f993485cdcad266475f7,12260,1,3,3,,,21
f993485cdcad266475f7,12260,1,3,4,18,,
bot,12260,2,3,1,20;22;24,,21;23
bot,12260,2,3,2,10;11;12;13,,14
bot,12260,2,3,5,15,,
bot,12260,2,3,6,17,,
f993485cdcad266475f7,12260,1,4,0,8;18,3;13;23,
f993485cdcad266475f7,12260,1,4,3,7,,
f993485cdcad266475f7,12260,1,4,4,,,14
bot,12260,2,4,1,,,
bot,12260,2,4,2,,,
bot,12260,2,4,5,16,,
bot,12260,2,4,6,22,,
f993485cdcad266475f7,12260,1,5,0,10;15;20,0;5,
f993485cdcad266475f7,12260,1,5,3,,,2
f993485cdcad266475f7,12260,1,5,4,,,
bot,12260,2,5,1,10;11;13;14,,12
bot,12260,2,5,2,,,
bot,12260,2,5,5,,,
bot,12260,2,5,6,22,,
f993485cdcad266475f7,15130,1,1,1,20;21;23;24,,22
f993485cdcad266475f7,15130,1,1,2,0;2;3,,1;4
f993485cdcad266475f7,15130,1,1,5,,,
f993485cdcad266475f7,15130,1,1,6,,,
bot,15130,2,1,0,4;9;14;24,,19
bot,15130,2,1,3,5,,
bot,15130,2,1,4,4,,
f993485cdcad266475f7,15130,1,2,1,,,
f993485cdcad266475f7,15130,1,2,2,8;9,5;6,7
f993485cdcad266475f7,15130,1,2,5,,4,
